date,latitude,longitude,wind_speed_kmh,pressure_hpa,rainfall_mm,humidity_percent,wave_height_m,storm_surge_m,cyclone_category,landfall_occurred,storm_name,city,province,deaths,people_affected
2020-01-01,24.7461,67.9239,39.2,1014.6,9.3,59.9,0.9,0.1,0,0,None,Thatta,Sindh,0,0
2020-01-05,24.8607,67.0011,30.6,1012.1,7.1,75.0,0.3,0.3,0,0,None,Karachi,Sindh,0,0
2020-01-09,25.21,64.64,27.0,1006.2,0.0,75.6,0.8,0.3,0,0,None,Ormara,Balochistan,0,0
2020-01-13,25.1227,62.3255,36.7,1005.7,0.0,74.7,1.1,0.2,0,0,None,Gwadar,Balochistan,0,0
2020-01-17,24.656,68.837,29.3,1017.6,0.0,78.9,0.9,0.4,0,0,None,Badin,Sindh,0,0
2020-01-21,24.7461,67.9239,29.4,1015.5,14.2,61.0,1.0,0.4,0,0,None,Thatta,Sindh,0,0
2020-01-25,24.8607,67.0011,22.5,1009.8,9.0,62.0,1.2,0.4,0,0,None,Karachi,Sindh,0,0
2020-01-29,25.21,64.64,20.3,1009.7,0.0,62.9,0.6,0.2,0,0,None,Ormara,Balochistan,0,0
2020-02-02,24.656,68.837,22.2,1005.7,4.3,60.8,0.7,0.1,0,0,None,Badin,Sindh,0,0
2020-02-06,24.7461,67.9239,20.2,1013.1,0.0,74.2,1.0,0.3,0,0,None,Thatta,Sindh,0,0
2020-02-10,24.8607,67.0011,17.7,1013.1,0.0,56.1,0.7,0.2,0,0,None,Karachi,Sindh,0,0
2020-02-14,25.21,64.64,32.9,1010.0,0.0,64.3,1.1,0.5,0,0,None,Ormara,Balochistan,0,0
2020-02-18,25.1227,62.3255,21.9,1010.7,0.0,58.4,0.5,0.4,0,0,None,Gwadar,Balochistan,0,0
2020-02-22,24.656,68.837,11.9,1005.6,5.9,69.0,1.2,0.3,0,0,None,Badin,Sindh,0,0
2020-02-26,24.7461,67.9239,39.3,1016.6,12.3,59.5,1.4,0.4,0,0,None,Thatta,Sindh,0,0
2020-03-01,24.7461,67.9239,25.1,1016.4,1.1,75.9,0.4,0.3,0,0,None,Thatta,Sindh,0,0
2020-03-05,24.8607,67.0011,39.7,1010.7,2.6,71.8,0.7,0.3,0,0,None,Karachi,Sindh,0,0
2020-03-09,25.21,64.64,14.4,1015.8,0.0,55.0,0.6,0.3,0,0,None,Ormara,Balochistan,0,0
2020-03-13,25.1227,62.3255,32.7,1010.0,1.8,55.6,0.5,0.3,0,0,None,Gwadar,Balochistan,0,0
2020-03-17,24.656,68.837,18.2,1011.5,0.0,63.9,1.0,0.5,0,0,None,Badin,Sindh,0,0
2020-03-21,24.7461,67.9239,23.3,1006.2,0.0,74.3,1.0,0.2,0,0,None,Thatta,Sindh,0,0
2020-03-25,24.8607,67.0011,12.4,1009.5,0.0,66.2,0.5,0.2,0,0,None,Karachi,Sindh,0,0
2020-03-29,25.21,64.64,29.6,1017.4,0.0,69.6,1.3,0.3,0,0,None,Ormara,Balochistan,0,0
2020-04-02,24.656,68.837,27.2,1014.6,10.5,65.4,0.6,0.4,0,0,None,Badin,Sindh,0,0
2020-04-06,24.7461,67.9239,35.1,1008.4,14.1,76.9,0.6,0.4,0,0,None,Thatta,Sindh,0,0
2020-04-10,24.8607,67.0011,20.2,1013.3,0.0,72.9,1.1,0.5,0,0,None,Karachi,Sindh,0,0
2020-04-14,25.21,64.64,15.3,1008.2,0.0,61.4,1.3,0.4,0,0,None,Ormara,Balochistan,0,0
2020-04-18,25.1227,62.3255,19.3,1014.2,0.0,72.6,1.1,0.3,0,0,None,Gwadar,Balochistan,0,0
2020-04-22,24.656,68.837,27.5,1015.0,2.9,69.9,1.0,0.2,0,0,None,Badin,Sindh,0,0
2020-04-26,24.7461,67.9239,16.8,1016.5,0.0,67.6,1.2,0.4,0,0,None,Thatta,Sindh,0,0
2020-04-30,24.8607,67.0011,12.6,1006.6,0.0,55.2,1.1,0.2,0,0,None,Karachi,Sindh,0,0
2020-05-04,25.21,64.64,30.1,1014.0,0.0,56.4,1.3,0.4,0,0,None,Ormara,Balochistan,0,0
2020-05-08,25.1227,62.3255,23.1,1009.5,13.9,76.1,0.4,0.2,0,0,None,Gwadar,Balochistan,0,0
2020-05-12,24.656,68.837,19.8,1009.3,0.0,69.7,0.4,0.2,0,0,None,Badin,Sindh,0,0
2020-05-16,24.817,67.033,81.4,988.7,46.8,74.5,4.3,0.7,1,0,Cyclone Amphan (indirect),Karachi,Sindh,2,5000
2020-05-16,24.7461,67.9239,10.7,1006.2,5.2,56.7,0.4,0.4,0,0,None,Thatta,Sindh,0,0
2020-05-20,24.8607,67.0011,33.6,1016.0,0.0,55.2,1.0,0.1,0,0,None,Karachi,Sindh,0,0
2020-05-24,25.21,64.64,38.2,1007.7,0.0,55.6,0.8,0.4,0,0,None,Ormara,Balochistan,0,0
2020-05-28,25.1227,62.3255,24.5,1015.2,0.0,75.4,0.9,0.2,0,0,None,Gwadar,Balochistan,0,0
2020-06-01,24.7461,67.9239,33.3,1008.6,0.0,73.7,1.2,0.4,0,0,None,Thatta,Sindh,0,0
2020-06-02,24.8319,67.8886,68.4,994.1,64.8,80.1,3.9,0.8,0,0,Arabian Sea Depression,Thatta,Sindh,1,2000
2020-06-03,24.6804,67.8427,58.4,996.8,55.1,78.1,3.5,0.3,0,0,Arabian Sea Depression,Thatta,Sindh,0,2000
2020-06-04,24.8259,67.9276,42.6,999.1,46.4,76.8,2.4,0.3,0,0,Arabian Sea Depression,Thatta,Sindh,0,2000
2020-06-05,24.8607,67.0011,15.2,1011.6,0.0,68.4,1.5,0.2,0,0,None,Karachi,Sindh,0,0
2020-06-05,24.773,67.8835,40.0,1002.3,32.0,74.2,2.9,0.7,0,0,Arabian Sea Depression,Thatta,Sindh,0,2000
2020-06-09,25.21,64.64,15.1,1014.6,0.0,74.1,0.4,0.4,0,0,None,Ormara,Balochistan,0,0
2020-06-13,25.1227,62.3255,18.5,1005.2,0.0,62.9,1.1,0.3,0,0,None,Gwadar,Balochistan,0,0
2020-06-17,24.656,68.837,14.2,1013.3,5.1,66.4,0.7,0.1,0,0,None,Badin,Sindh,0,0
2020-06-21,24.7461,67.9239,21.3,1005.2,0.0,66.3,1.2,0.3,0,0,None,Thatta,Sindh,0,0
2020-06-25,24.8607,67.0011,36.9,1016.8,13.5,58.2,1.2,0.1,0,0,None,Karachi,Sindh,0,0
2020-06-29,25.21,64.64,13.1,1014.0,13.3,73.9,0.5,0.3,0,0,None,Ormara,Balochistan,0,0
2020-07-03,25.1227,62.3255,18.0,1012.8,0.0,65.9,1.0,0.3,0,0,None,Gwadar,Balochistan,0,0
2020-07-07,24.656,68.837,36.5,1007.5,14.9,59.9,0.4,0.4,0,0,None,Badin,Sindh,0,0
2020-07-11,24.7461,67.9239,23.7,1006.0,0.0,79.8,0.3,0.4,0,0,None,Thatta,Sindh,0,0
2020-07-15,24.8607,67.0011,11.4,1013.8,0.0,65.3,0.4,0.5,0,0,None,Karachi,Sindh,0,0
2020-07-19,25.21,64.64,25.4,1013.6,9.4,59.2,1.3,0.3,0,0,None,Ormara,Balochistan,0,0
2020-07-23,25.1227,62.3255,19.2,1012.7,0.0,71.7,1.5,0.5,0,0,None,Gwadar,Balochistan,0,0
2020-07-27,24.656,68.837,36.8,1013.6,11.5,56.7,0.4,0.2,0,0,None,Badin,Sindh,0,0
2020-07-31,24.7461,67.9239,33.7,1009.4,0.0,76.0,1.1,0.3,0,0,None,Thatta,Sindh,0,0
2020-08-04,25.21,64.64,28.0,1010.8,0.0,79.5,0.8,0.5,0,0,None,Ormara,Balochistan,0,0
2020-08-08,25.1227,62.3255,36.1,1015.5,13.7,70.5,1.0,0.3,0,0,None,Gwadar,Balochistan,0,0
2020-08-12,24.656,68.837,13.7,1013.3,2.3,68.0,1.1,0.3,0,0,None,Badin,Sindh,0,0
2020-08-16,24.7461,67.9239,25.4,1010.2,10.2,65.3,1.1,0.2,0,0,None,Thatta,Sindh,0,0
2020-08-20,24.8607,67.0011,17.5,1010.4,0.0,78.1,1.4,0.2,0,0,None,Karachi,Sindh,0,0
2020-08-24,25.21,64.64,23.5,1005.2,14.1,63.0,0.4,0.4,0,0,None,Ormara,Balochistan,0,0
2020-08-28,25.1227,62.3255,14.7,1014.2,7.3,66.2,0.6,0.2,0,0,None,Gwadar,Balochistan,0,0
2020-09-01,24.7461,67.9239,12.7,1010.3,0.0,55.2,0.6,0.4,0,0,None,Thatta,Sindh,0,0
2020-09-05,24.8607,67.0011,17.7,1013.2,0.0,74.9,0.8,0.4,0,0,None,Karachi,Sindh,0,0
2020-09-09,25.21,64.64,23.0,1005.4,0.0,71.8,1.1,0.4,0,0,None,Ormara,Balochistan,0,0
