date,latitude,longitude,rainfall_mm,river_level_m,flood_occurred,city,province,flood_cause,people_affected,deaths
2020-01-01,31.5204,74.3587,0.0,1.11,0,Lahore,Punjab,None,0,0
2020-01-04,30.1575,71.5249,0.0,0.57,0,Multan,Punjab,None,0,0
2020-01-07,24.8607,67.0011,0.0,0.9,0,Karachi,Sindh,None,0,0
2020-01-10,30.1798,66.975,4.7,0.53,0,Quetta,Balochistan,None,0,0
2020-01-13,35.9221,74.3082,0.0,1.22,0,Gilgit,GB,None,0,0
2020-01-16,34.0151,71.5249,0.0,1.7,0,Peshawar,KPK,None,0,0
2020-01-19,27.7052,68.8574,0.0,1.68,0,Sukkur,Sindh,None,0,0
2020-01-22,31.5204,74.3587,0.0,1.16,0,Lahore,Punjab,None,0,0
2020-01-25,30.1575,71.5249,0.0,1.4,0,Multan,Punjab,None,0,0
2020-01-28,24.8607,67.0011,9.4,0.98,0,Karachi,Sindh,None,0,0
2020-01-31,30.1798,66.975,1.2,1.56,0,Quetta,Balochistan,None,0,0
2020-02-03,30.1798,66.975,1.3,1.6,0,Quetta,Balochistan,None,0,0
2020-02-06,35.9221,74.3082,0.0,0.9,0,Gilgit,GB,None,0,0
2020-02-09,34.0151,71.5249,0.0,1.5,0,Peshawar,KPK,None,0,0
2020-02-12,27.7052,68.8574,0.0,0.9,0,Sukkur,Sindh,None,0,0
2020-02-15,31.5204,74.3587,5.4,0.82,0,Lahore,Punjab,None,0,0
2020-02-18,30.1575,71.5249,0.0,0.98,0,Multan,Punjab,None,0,0
2020-02-21,24.8607,67.0011,0.0,0.51,0,Karachi,Sindh,None,0,0
2020-02-24,30.1798,66.975,0.0,0.93,0,Quetta,Balochistan,None,0,0
2020-02-27,35.9221,74.3082,0.0,1.17,0,Gilgit,GB,None,0,0
2020-03-01,31.5204,74.3587,0.0,1.3,0,Lahore,Punjab,None,0,0
2020-03-04,30.1575,71.5249,1.9,0.52,0,Multan,Punjab,None,0,0
2020-03-04,34.0151,71.5249,155.6,6.19,1,Peshawar,KPK,Flash Flood,4836,66
2020-03-05,34.0151,71.5249,141.3,6.67,1,Peshawar,KPK,Flash Flood,4836,0
2020-03-06,34.0151,71.5249,95.3,5.42,1,Peshawar,KPK,Flash Flood,4836,0
