date,latitude,longitude,temp_max_c,temp_min_c,humidity_percent,heat_index_c,rainfall_mm,consecutive_dry_days,heatwave_occurred,city,province,deaths
2020-01-01,31.5204,74.3587,14.4,7.7,42.2,15.4,0.3,13,0,Lahore,Punjab,0
2020-01-05,27.7052,68.8574,19.0,19.0,52.6,18.3,2.6,10,0,Sukkur,Sindh,0
2020-01-09,30.1575,71.5249,15.2,11.3,44.5,15.4,0.5,3,0,Multan,Punjab,0
2020-01-13,31.4504,73.135,17.3,13.6,45.2,17.1,4.4,11,0,Faisalabad,Punjab,0
2020-01-17,25.396,68.3578,18.3,17.7,59.5,21.0,4.6,6,0,Hyderabad,Sindh,0
2020-01-21,24.8607,67.0011,23.5,14.0,52.1,22.9,2.7,13,0,Karachi,Sindh,0
2020-01-25,30.1798,66.975,17.5,3.7,27.9,19.0,3.8,9,0,Quetta,Balochistan,0
2020-01-29,31.5204,74.3587,12.1,13.5,47.4,11.1,1.2,7,0,Lahore,Punjab,0
2020-02-02,30.1575,71.5249,16.2,11.6,37.2,18.6,1.1,3,0,Multan,Punjab,0
2020-02-06,31.4504,73.135,20.3,11.3,49.1,19.8,3.2,6,0,Faisalabad,Punjab,0
2020-02-10,25.396,68.3578,27.7,17.1,48.9,26.9,4.6,14,0,Hyderabad,Sindh,0
2020-02-14,24.8607,67.0011,20.9,21.5,59.9,19.0,3.6,4,0,Karachi,Sindh,0
2020-02-18,30.1798,66.975,13.7,10.6,30.1,16.3,2.2,6,0,Quetta,Balochistan,0
2020-02-22,31.5204,74.3587,15.9,10.1,50.3,18.9,5.0,13,0,Lahore,Punjab,0
2020-02-26,27.7052,68.8574,25.8,21.5,48.6,26.5,3.6,6,0,Sukkur,Sindh,0
2020-03-01,31.5204,74.3587,23.3,19.7,44.4,21.7,5.0,6,0,Lahore,Punjab,0
2020-03-05,27.7052,68.8574,32.0,25.3,47.2,33.0,0.3,6,0,Sukkur,Sindh,0
2020-03-09,30.1575,71.5249,25.5,21.1,44.6,28.2,1.9,11,0,Multan,Punjab,0
2020-03-13,31.4504,73.135,27.6,19.7,52.0,28.0,1.0,3,0,Faisalabad,Punjab,0
2020-03-17,25.396,68.3578,26.3,21.3,50.2,27.5,2.6,11,0,Hyderabad,Sindh,0
2020-03-21,24.8607,67.0011,26.7,22.4,52.5,29.7,4.0,3,0,Karachi,Sindh,0
2020-03-25,30.1798,66.975,27.0,18.4,32.7,28.5,3.5,9,0,Quetta,Balochistan,0
2020-03-29,31.5204,74.3587,22.7,17.7,48.7,21.1,3.8,2,0,Lahore,Punjab,0
2020-04-02,30.1575,71.5249,26.9,21.1,28.8,27.8,0.9,3,0,Multan,Punjab,0
2020-04-06,31.4504,73.135,26.2,21.6,29.6,25.0,1.2,8,0,Faisalabad,Punjab,0
2020-04-10,25.396,68.3578,34.1,30.3,39.9,33.0,1.7,11,0,Hyderabad,Sindh,0
2020-04-14,24.8607,67.0011,30.4,31.8,47.3,33.1,3.7,12,0,Karachi,Sindh,0
2020-04-15,24.8607,67.0011,41.7,32.0,37.6,46.2,0.0,10,1,Karachi,Sindh,0
2020-04-16,24.8607,67.0011,40.8,30.7,30.8,43.0,0.0,35,1,Karachi,Sindh,0
2020-04-17,24.8607,67.0011,40.5,29.1,27.2,43.0,0.0,30,1,Karachi,Sindh,0
2020-04-18,24.8607,67.0011,39.4,31.0,35.5,44.5,0.0,27,1,Karachi,Sindh,0
2020-04-18,30.1798,66.975,33.1,21.5,12.7,31.5,2.4,2,0,Quetta,Balochistan,0
2020-04-19,24.8607,67.0011,39.0,32.1,25.1,41.9,0.0,36,1,Karachi,Sindh,0
2020-04-22,31.5204,74.3587,33.1,25.6,37.7,35.2,4.7,6,0,Lahore,Punjab,0
2020-04-26,27.7052,68.8574,33.7,30.9,36.7,32.6,1.6,5,0,Sukkur,Sindh,0
2020-04-30,30.1575,71.5249,29.1,23.9,37.2,30.8,0.5,9,0,Multan,Punjab,0
2020-05-04,30.1798,66.975,35.2,24.2,11.7,36.5,3.4,8,0,Quetta,Balochistan,0
2020-05-05,28.2769,68.4514,48.8,34.7,29.3,54.3,0.0,30,1,Jacobabad,Sindh,3
2020-05-06,28.2769,68.4514,47.3,33.9,34.6,50.2,0.0,14,1,Jacobabad,Sindh,0
2020-05-07,28.2769,68.4514,46.9,34.6,22.4,50.9,0.0,37,1,Jacobabad,Sindh,0
2020-05-08,28.2769,68.4514,45.3,35.6,30.4,50.4,0.0,41,1,Jacobabad,Sindh,0
2020-05-08,31.5204,74.3587,37.9,30.5,24.2,37.7,3.7,8,0,Lahore,Punjab,0
2020-05-12,27.7052,68.8574,34.4,32.7,45.9,34.7,2.5,3,0,Sukkur,Sindh,0
2020-05-15,27.557,68.2247,45.7,32.9,36.1,49.8,0.0,43,1,Larkana,Sindh,2
2020-05-16,30.1575,71.5249,36.1,28.5,36.5,37.0,1.5,8,0,Multan,Punjab,0
2020-05-16,27.557,68.2247,45.3,32.4,23.7,50.6,0.0,22,1,Larkana,Sindh,0
2020-05-17,27.557,68.2247,44.7,35.3,31.9,50.4,0.0,33,1,Larkana,Sindh,0
2020-05-18,27.557,68.2247,43.1,35.6,34.3,46.0,0.0,21,1,Larkana,Sindh,0
2020-05-19,27.557,68.2247,42.7,32.6,23.0,47.3,0.0,36,1,Larkana,Sindh,0
2020-05-20,30.1575,71.5249,45.4,29.5,20.7,50.7,0.0,22,1,Multan,Punjab,1
2020-05-20,31.4504,73.135,40.1,33.8,31.4,42.5,1.2,13,0,Faisalabad,Punjab,0
2020-05-20,27.557,68.2247,42.0,34.8,28.8,46.3,0.0,12,1,Larkana,Sindh,0
2020-05-21,30.1575,71.5249,43.8,31.6,25.4,46.9,0.0,14,1,Multan,Punjab,0
2020-05-21,27.557,68.2247,41.0,32.1,30.7,44.2,0.0,33,1,Larkana,Sindh,0
2020-05-22,30.1575,71.5249,43.3,29.7,26.7,47.9,0.0,25,1,Multan,Punjab,0
2020-05-23,30.1575,71.5249,42.3,29.2,19.7,46.3,0.0,35,1,Multan,Punjab,0
2020-05-24,25.396,68.3578,36.6,32.1,43.3,35.2,4.7,3,0,Hyderabad,Sindh,0
2020-05-24,30.1575,71.5249,41.6,32.4,23.1,44.9,0.0,42,1,Multan,Punjab,0
2020-05-25,30.1575,71.5249,40.4,29.2,19.9,42.7,0.0,40,1,Multan,Punjab,0
2020-05-28,24.8607,67.0011,41.3,32.1,41.7,40.9,1.2,3,0,Karachi,Sindh,0
2020-06-01,31.5204,74.3587,39.5,29.4,31.0,38.8,0.2,3,0,Lahore,Punjab,0
2020-06-01,29.5436,67.8772,49.7,34.8,10.0,54.2,0.0,26,1,Sibi,Balochistan,5
2020-06-02,29.5436,67.8772,49.3,34.7,10.0,54.2,0.0,34,1,Sibi,Balochistan,0
2020-06-03,29.5436,67.8772,47.9,31.2,10.0,50.0,0.0,17,1,Sibi,Balochistan,0
2020-06-05,27.7052,68.8574,35.4,33.6,36.5,36.2,3.5,5,0,Sukkur,Sindh,0
2020-06-09,30.1575,71.5249,37.6,30.9,22.5,36.2,1.0,8,0,Multan,Punjab,0
2020-06-10,25.396,68.3578,44.3,35.5,35.4,46.8,0.4,29,1,Hyderabad,Sindh,2
2020-06-11,25.396,68.3578,44.0,35.0,30.5,46.9,0.0,12,1,Hyderabad,Sindh,0
2020-06-12,25.396,68.3578,42.9,35.2,29.9,45.2,0.0,25,1,Hyderabad,Sindh,0
2020-06-13,31.4504,73.135,41.5,33.5,24.6,43.4,1.6,14,0,Faisalabad,Punjab,0
2020-06-13,25.396,68.3578,42.6,33.8,24.5,47.8,0.0,39,1,Hyderabad,Sindh,0
2020-06-14,25.396,68.3578,40.9,33.7,35.4,46.0,0.0,24,1,Hyderabad,Sindh,0
2020-06-15,25.396,68.3578,40.6,35.8,29.5,44.3,0.0,27,1,Hyderabad,Sindh,0
2020-06-16,25.396,68.3578,39.4,35.3,32.4,42.9,0.0,16,1,Hyderabad,Sindh,0
2020-06-17,25.396,68.3578,35.0,33.6,44.9,33.1,2.1,2,0,Hyderabad,Sindh,0
2020-06-17,25.396,68.3578,38.6,36.6,26.9,42.9,0.0,12,1,Hyderabad,Sindh,0
2020-06-20,27.7052,68.8574,47.1,32.7,28.9,51.9,0.0,36,1,Sukkur,Sindh,4
2020-06-21,24.8607,67.0011,39.1,34.5,45.6,39.0,4.7,5,0,Karachi,Sindh,0
2020-06-21,27.7052,68.8574,46.5,35.3,36.4,50.0,0.0,21,1,Sukkur,Sindh,0
2020-06-22,27.7052,68.8574,46.0,35.5,24.6,50.1,0.0,41,1,Sukkur,Sindh,0
2020-06-23,27.7052,68.8574,45.0,33.6,35.6,49.6,0.0,34,1,Sukkur,Sindh,0
