date,latitude,longitude,rainfall_mm,max_24hr_rainfall_mm,slope_degree,elevation_m,soil_type,consecutive_wet_days,landslide_occurred,city,province,landslide_cause,deaths,people_affected
2020-01-01,35.8781,74.371,1.9,0.9,15.5,2878,Clay,1,0,Gilgit,GB,None,0,0
2020-01-05,35.2617,71.8668,2.7,1.5,26.5,1453,Silt,2,0,Dir,KPK,None,0,0
2020-01-09,35.9379,71.7968,19.0,10.7,29.4,1456,Clay,1,0,Chitral,KPK,None,0,0
2020-01-13,35.9599,74.2893,0.0,0.0,12.2,1551,Sandy Loam,3,0,Gilgit,GB,None,0,0
2020-01-17,35.1804,71.8059,2.2,0.9,19.6,2734,Sandy Loam,0,0,Dir,KPK,None,0,0
2020-01-21,35.8354,71.7319,0.0,0.0,16.4,1731,Clay,4,0,Chitral,KPK,None,0,0
2020-01-25,36.0143,74.2585,6.4,3.2,11.5,2159,Clay,2,0,Gilgit,GB,None,0,0
2020-01-29,35.2109,71.9064,24.9,7.7,29.2,2482,Silt,4,0,Dir,KPK,None,0,0
2020-02-02,34.4374,73.4468,22.0,6.8,19.2,2713,Silt,2,0,Muzaffarabad,AJK,None,0,0
2020-02-06,35.2069,72.3669,0.0,0.0,21.3,2616,Loam,1,0,Swat,KPK,None,0,0
2020-02-10,36.3712,74.5747,2.5,0.8,18.5,1666,Loam,4,0,Hunza,GB,None,0,0
2020-02-14,34.2911,73.5176,29.0,9.7,23.7,1776,Clay,2,0,Muzaffarabad,AJK,None,0,0
2020-02-18,35.1411,72.4497,0.0,0.0,26.2,3034,Silt,2,0,Swat,KPK,None,0,0
2020-02-22,36.2368,74.66,0.0,0.0,27.0,2263,Loam,0,0,Hunza,GB,None,0,0
2020-02-26,34.3457,73.441,0.0,0.0,16.6,802,Clay,2,0,Muzaffarabad,AJK,None,0,0
2020-03-01,35.9483,74.3377,28.5,9.5,24.9,3604,Loam,1,0,Gilgit,GB,None,0,0
2020-03-04,35.8781,71.7842,77.1,50.6,43.4,1596,Sandy Loam,10,1,Chitral,KPK,Heavy Rain,8,200
2020-03-05,35.1675,71.8632,14.7,6.2,16.8,1247,Loam,0,0,Dir,KPK,None,0,0
2020-03-09,35.8734,71.833,20.5,12.9,19.6,2109,Loam,4,0,Chitral,KPK,None,0,0
2020-03-13,35.8608,74.4017,27.0,11.8,29.3,1862,Rocky,2,0,Gilgit,GB,None,0,0
2020-03-17,35.1408,71.8581,0.0,0.0,12.7,1951,Sandy Loam,2,0,Dir,KPK,None,0,0
2020-03-21,35.7818,71.882,0.0,0.0,25.9,1999,Clay,4,0,Chitral,KPK,None,0,0
2020-03-25,35.9307,74.3652,6.0,3.1,11.0,2537,Loam,3,0,Gilgit,GB,None,0,0
2020-03-29,35.2966,71.8782,2.4,0.8,14.1,3046,Loam,1,0,Dir,KPK,None,0,0
2020-04-02,34.3636,73.5693,14.6,5.0,16.9,1335,Silt,0,0,Muzaffarabad,AJK,None,0,0
2020-04-06,35.2261,72.4717,29.7,17.4,25.7,880,Silt,2,0,Swat,KPK,None,0,0
2020-04-10,36.3791,74.6244,4.5,2.4,13.1,4565,Loam,0,0,Hunza,GB,None,0,0
2020-04-14,36.2785,74.6317,33.4,28.9,50.2,3075,Sandy Loam,9,1,Hunza,GB,Snowmelt,3,500
2020-04-14,34.364,73.3802,24.6,9.7,25.9,2973,Loam,2,0,Muzaffarabad,AJK,None,0,0
2020-04-15,36.3156,74.6862,29.7,19.2,52.9,3212,Silt,10,1,Hunza,GB,Snowmelt,0,500
2020-04-16,36.3409,74.6127,28.2,23.6,50.1,2236,Clay,12,1,Hunza,GB,Snowmelt,0,500
2020-04-18,35.1894,72.452,23.7,15.2,18.2,1483,Loam,2,0,Swat,KPK,None,0,0
2020-04-22,36.3326,74.7024,0.0,0.0,27.0,3582,Loam,2,0,Hunza,GB,None,0,0
2020-04-26,34.4668,73.3741,0.0,0.0,25.7,2433,Loam,0,0,Muzaffarabad,AJK,None,0,0
