date,latitude,longitude,temperature_c,humidity_percent,ndvi,fire_occurred,rainfall_mm,wind_speed_kmh,consecutive_dry_days,city,province,fire_cause,area_burned_ha,deaths
2020-01-01,35.7992,71.7493,9.4,63.3,0.199,0,3.5,19.9,8,Chitral,KPK,None,0,0
2020-01-05,35.5039,72.495,10.2,39.1,0.361,0,4.8,16.1,8,Kalam,KPK,None,0,0
2020-01-09,36.0091,74.2571,5.9,61.6,0.217,0,8.3,20.5,5,Gilgit,GB,None,0,0
2020-01-13,36.3326,74.5542,10.4,48.1,0.206,0,3.2,21.5,2,Hunza,GB,None,0,0
2020-01-17,30.1616,66.8864,8.7,60.4,0.232,0,0.0,11.5,1,Quetta,Balochistan,None,0,0
2020-01-21,35.1701,72.4681,11.3,55.1,0.424,0,5.7,20.7,4,Swat,KPK,None,0,0
2020-01-25,31.3972,69.4103,15.2,47.2,0.389,0,5.2,18.8,5,Zhob,Balochistan,None,0,0
2020-01-29,35.9256,71.8798,14.1,49.9,0.292,0,0.7,19.1,3,Chitral,KPK,None,0,0
2020-02-02,35.9581,74.3313,15.3,52.5,0.43,0,1.0,11.9,0,Gilgit,GB,None,0,0
2020-02-06,36.2423,74.5681,17.1,32.5,0.344,0,7.2,11.5,1,Hunza,GB,None,0,0
2020-02-10,30.2266,67.0392,10.4,31.2,0.413,0,6.9,13.3,8,Quetta,Balochistan,None,0,0
2020-02-14,35.1489,72.5163,8.0,51.6,0.223,0,2.3,5.9,4,Swat,KPK,None,0,0
2020-02-18,31.4402,69.4914,13.8,44.0,0.229,0,4.3,8.6,2,Zhob,Balochistan,None,0,0
2020-02-22,35.8321,71.8592,7.7,41.2,0.223,0,4.2,10.9,6,Chitral,KPK,None,0,0
2020-02-26,35.5783,72.4804,11.8,63.8,0.261,0,4.4,7.3,7,Kalam,KPK,None,0,0
2020-03-01,35.9445,71.8032,17.0,37.2,0.433,0,0.6,10.5,1,Chitral,KPK,None,0,0
2020-03-05,35.5664,72.6017,21.0,33.5,0.162,0,5.7,9.0,2,Kalam,KPK,None,0,0
2020-03-09,35.8604,74.2629,19.0,21.7,0.411,0,3.2,22.6,0,Gilgit,GB,None,0,0
2020-03-13,36.4075,74.6793,18.5,39.3,0.433,0,4.6,9.3,7,Hunza,GB,None,0,0
2020-03-15,35.8637,71.7968,20.1,6.8,0.138,1,0.0,8.6,15,Chitral,KPK,Dry Weather,450,0
2020-03-17,30.172,67.0636,23.2,43.9,0.221,0,9.2,14.3,1,Quetta,Balochistan,None,0,0
2020-03-21,35.3005,72.5205,14.7,37.3,0.431,0,3.5,13.9,1,Swat,KPK,None,0,0
2020-03-25,31.3306,69.4751,28.0,36.6,0.198,0,7.5,14.7,6,Zhob,Balochistan,None,0,0
2020-03-29,35.8643,71.8523,23.1,15.8,0.361,0,0.4,5.4,6,Chitral,KPK,None,0,0
2020-04-02,35.9672,74.3073,21.4,16.4,0.175,0,7.1,31.6,8,Gilgit,GB,None,0,0
2020-04-02,35.2196,72.4328,25.2,20.4,0.145,1,0.0,35.4,7,Swat,KPK,Human Activity,800,1
2020-04-06,36.3664,74.6752,24.5,22.8,0.308,0,6.1,18.6,4,Hunza,GB,None,0,0
2020-04-10,30.132,66.9736,30.5,25.0,0.272,0,2.9,34.4,4,Quetta,Balochistan,None,0,0
2020-04-14,35.2724,72.372,25.2,41.1,0.421,0,4.0,33.3,4,Swat,KPK,None,0,0
2020-04-18,31.3174,69.5459,32.1,17.4,0.416,0,7.2,17.9,4,Zhob,Balochistan,None,0,0
2020-04-20,35.2048,71.915,24.3,8.7,0.343,1,0.0,21.4,26,Dir,KPK,Dry Weather,600,0
2020-04-22,35.8397,71.8241,20.2,42.7,0.331,0,4.3,42.4,6,Chitral,KPK,None,0,0
2020-04-26,35.562,72.6517,26.4,41.4,0.241,0,1.3,23.2,4,Kalam,KPK,None,0,0
2020-04-30,35.8586,74.3322,25.1,43.4,0.216,0,1.8,30.4,9,Gilgit,GB,None,0,0
2020-05-04,31.4135,69.3756,32.4,19.7,0.2,0,3.4,41.5,5,Zhob,Balochistan,None,0,0
2020-05-08,35.8261,71.7143,25.7,17.0,0.349,0,0.3,32.2,4,Chitral,KPK,None,0,0
2020-05-10,35.5127,72.9856,31.6,20.1,0.138,1,0.0,43.3,27,Kohistan,KPK,Lightning,1200,0
2020-05-12,35.461,72.5347,26.3,38.7,0.171,0,6.5,44.0,8,Kalam,KPK,None,0,0
2020-05-16,36.0087,74.3568,23.5,26.3,0.361,0,9.0,24.6,6,Gilgit,GB,None,0,0
2020-05-20,36.2827,74.5693,24.7,39.4,0.258,0,9.3,21.7,4,Hunza,GB,None,0,0
2020-05-24,30.2516,67.0594,31.8,23.9,0.341,0,0.2,16.6,9,Quetta,Balochistan,None,0,0
2020-05-25,31.3283,69.4778,29.0,21.3,0.132,1,0.0,17.9,25,Zhob,Balochistan,Dry Weather,900,0
2020-05-28,35.3061,72.3648,27.8,24.1,0.268,0,5.1,20.2,3,Swat,KPK,None,0,0
2020-06-01,35.9402,71.715,33.3,28.6,0.67,0,9.3,30.2,6,Chitral,KPK,None,0,0
2020-06-05,35.5621,72.55,27.6,28.7,0.542,0,3.3,34.5,9,Kalam,KPK,None,0,0
2020-06-08,35.9238,74.3107,37.6,29.2,0.317,1,0.0,23.2,7,Gilgit,GB,Human Activity,500,0
2020-06-09,36.0187,74.2975,28.5,28.5,0.589,0,1.6,24.9,6,Gilgit,GB,None,0,0
2020-06-13,36.3692,74.7263,26.4,30.6,0.641,0,2.4,29.9,0,Hunza,GB,None,0,0
2020-06-17,30.1607,67.0369,32.1,20.8,0.516,0,4.0,39.8,6,Quetta,Balochistan,None,0,0
2020-06-21,35.1229,72.3649,25.3,31.1,0.49,0,2.1,28.0,6,Swat,KPK,None,0,0
2020-06-22,35.428,74.0908,35.2,34.6,0.106,1,0.0,26.5,14,Chillas,GB,Dry Weather,700,0
2020-06-25,31.4108,69.4511,28.1,43.4,0.379,0,9.1,21.7,3,Zhob,Balochistan,None,0,0
2020-06-29,35.8012,71.6893,35.0,27.6,0.403,0,8.2,19.6,3,Chitral,KPK,None,0,0
2020-07-03,30.2603,66.8791,34.4,48.4,0.666,0,22.0,9.3,9,Quetta,Balochistan,None,0,0
2020-07-05,34.6151,72.5647,29.0,25.6,0.269,1,0.0,15.7,23,Shangla,KPK,Human Activity,1500,2
2020-07-07,35.2043,72.3725,34.3,36.2,0.557,0,24.1,10.0,4,Swat,KPK,None,0,0
2020-07-11,31.2811,69.3834,38.6,59.0,0.676,0,23.5,6.5,1,Zhob,Balochistan,None,0,0
2020-07-15,35.9055,71.8794,29.5,63.9,0.412,0,25.0,23.0,8,Chitral,KPK,None,0,0
2020-07-19,35.5532,72.5037,24.3,48.5,0.662,0,13.2,12.6,9,Kalam,KPK,None,0,0
2020-07-23,35.9776,74.3161,30.0,49.6,0.376,0,39.8,11.3,6,Gilgit,GB,None,0,0
2020-07-27,36.2978,74.5793,23.4,51.2,0.448,0,16.4,17.1,9,Hunza,GB,None,0,0
2020-07-31,30.2648,66.9669,26.2,41.6,0.641,0,18.0,14.8,7,Quetta,Balochistan,None,0,0
2020-08-04,31.396,69.4412,34.2,47.9,0.312,0,46.2,16.9,0,Zhob,Balochistan,None,0,0
2020-08-08,35.9075,71.8575,31.8,40.9,0.586,0,8.7,7.6,8,Chitral,KPK,None,0,0
2020-08-12,35.581,72.5132,22.2,36.6,0.407,0,28.5,22.1,4,Kalam,KPK,None,0,0
2020-08-14,30.2169,66.9659,39.6,50.4,0.149,1,0.0,24.9,27,Quetta,Balochistan,Dry Weather,300,0
2020-08-16,35.8312,74.3953,28.9,56.3,0.352,0,28.8,7.0,6,Gilgit,GB,None,0,0
2020-08-20,36.4167,74.6019,24.3,54.8,0.552,0,6.4,24.2,3,Hunza,GB,None,0,0
2020-08-24,30.1067,66.8979,35.8,48.7,0.389,0,26.9,12.7,5,Quetta,Balochistan,None,0,0
2020-08-28,35.2685,72.4573,27.7,63.7,0.363,0,5.4,23.3,1,Swat,KPK,None,0,0
2020-09-01,35.8313,71.7151,23.7,62.4,0.348,0,21.1,11.0,0,Chitral,KPK,None,0,0
2020-09-03,34.3366,73.4434,30.3,17.2,0.121,1,0.0,20.1,29,Muzaffarabad,AJK,Lightning,400,0
2020-09-05,35.4264,72.4934,26.1,35.5,0.507,0,33.6,12.7,8,Kalam,KPK,None,0,0
2020-09-09,35.9493,74.3446,25.2,41.3,0.457,0,40.8,13.7,1,Gilgit,GB,None,0,0
